Index,Country,Client,ISP,Subnets,Aggregate
7,687,894,373,850,2804
75,687,894,373,850,2804
108,687,894,373,850,2804
269,687,894,373,850,2804
285,687,894,373,850,2804
351,687,894,373,850,2804
512,687,894,373,850,2804
539,687,894,373,850,2804
583,687,894,373,850,2804
676,687,894,373,850,2804
793,687,894,373,850,2804
839,687,894,373,850,2804
842,687,894,373,850,2804
1,687,642,373,850,2552
14,687,642,373,850,2552
16,687,642,373,850,2552
19,687,642,373,850,2552
22,687,642,373,850,2552
27,687,642,373,850,2552
34,687,642,373,850,2552
36,687,642,373,850,2552
38,687,642,373,850,2552
46,687,642,373,850,2552
51,687,642,373,850,2552
58,687,642,373,850,2552
59,687,642,373,850,2552
63,687,642,373,850,2552
70,687,642,373,850,2552
79,687,642,373,850,2552
82,687,642,373,850,2552
83,687,642,373,850,2552
85,687,642,373,850,2552
87,687,642,373,850,2552
88,687,642,373,850,2552
92,687,642,373,850,2552
98,687,642,373,850,2552
100,687,642,373,850,2552
105,687,642,373,850,2552
107,687,642,373,850,2552
111,687,642,373,850,2552
115,687,642,373,850,2552
124,687,642,373,850,2552
126,687,642,373,850,2552
127,687,642,373,850,2552
133,687,642,373,850,2552
134,687,642,373,850,2552
140,687,642,373,850,2552
156,687,642,373,850,2552
161,687,642,373,850,2552
162,687,642,373,850,2552
168,687,642,373,850,2552
169,687,642,373,850,2552
172,687,642,373,850,2552
177,687,642,373,850,2552
179,687,642,373,850,2552
182,687,642,373,850,2552
193,687,642,373,850,2552
202,687,642,373,850,2552
208,687,642,373,850,2552
209,687,642,373,850,2552
212,687,642,373,850,2552
213,687,642,373,850,2552
224,687,642,373,850,2552
230,687,642,373,850,2552
235,687,642,373,850,2552
238,687,642,373,850,2552
242,687,642,373,850,2552
248,687,642,373,850,2552
260,687,642,373,850,2552
262,687,642,373,850,2552
268,687,642,373,850,2552
270,687,642,373,850,2552
274,687,642,373,850,2552
279,687,642,373,850,2552
286,687,642,373,850,2552
288,687,642,373,850,2552
290,687,642,373,850,2552
298,687,642,373,850,2552
301,687,642,373,850,2552
302,687,642,373,850,2552
303,687,642,373,850,2552
308,687,642,373,850,2552
311,687,642,373,850,2552
313,687,642,373,850,2552
322,687,642,373,850,2552
323,687,642,373,850,2552
331,687,642,373,850,2552
332,687,642,373,850,2552
340,687,642,373,850,2552
342,687,642,373,850,2552
343,687,642,373,850,2552
345,687,642,373,850,2552
347,687,642,373,850,2552
352,687,642,373,850,2552
358,687,642,373,850,2552
360,687,642,373,850,2552
363,687,642,373,850,2552
371,687,642,373,850,2552
374,687,642,373,850,2552
377,687,642,373,850,2552
386,687,642,373,850,2552
387,687,642,373,850,2552
406,687,642,373,850,2552
408,687,642,373,850,2552
422,687,642,373,850,2552
434,687,642,373,850,2552
436,687,642,373,850,2552
438,687,642,373,850,2552
440,687,642,373,850,2552
446,687,642,373,850,2552
450,687,642,373,850,2552
456,687,642,373,850,2552
462,687,642,373,850,2552
463,687,642,373,850,2552
469,687,642,373,850,2552
470,687,642,373,850,2552
472,687,642,373,850,2552
475,687,642,373,850,2552
481,687,642,373,850,2552
487,687,642,373,850,2552
489,687,642,373,850,2552
490,687,642,373,850,2552
493,687,642,373,850,2552
498,687,642,373,850,2552
499,687,642,373,850,2552
500,687,642,373,850,2552
508,687,642,373,850,2552
510,687,642,373,850,2552
511,687,642,373,850,2552
516,687,642,373,850,2552
517,687,642,373,850,2552
527,687,642,373,850,2552
528,687,642,373,850,2552
532,687,642,373,850,2552
533,687,642,373,850,2552
534,687,642,373,850,2552
536,687,642,373,850,2552
542,687,642,373,850,2552
545,687,642,373,850,2552
548,687,642,373,850,2552
550,687,642,373,850,2552
553,687,642,373,850,2552
554,687,642,373,850,2552
557,687,642,373,850,2552
558,687,642,373,850,2552
559,687,642,373,850,2552
564,687,642,373,850,2552
565,687,642,373,850,2552
570,687,642,373,850,2552
572,687,642,373,850,2552
573,687,642,373,850,2552
577,687,642,373,850,2552
586,687,642,373,850,2552
590,687,642,373,850,2552
591,687,642,373,850,2552
593,687,642,373,850,2552
594,687,642,373,850,2552
596,687,642,373,850,2552
601,687,642,373,850,2552
602,687,642,373,850,2552
609,687,642,373,850,2552
621,687,642,373,850,2552
627,687,642,373,850,2552
630,687,642,373,850,2552
634,687,642,373,850,2552
646,687,642,373,850,2552
649,687,642,373,850,2552
653,687,642,373,850,2552
655,687,642,373,850,2552
656,687,642,373,850,2552
659,687,642,373,850,2552
660,687,642,373,850,2552
662,687,642,373,850,2552
663,687,642,373,850,2552
664,687,642,373,850,2552
667,687,642,373,850,2552
669,687,642,373,850,2552
671,687,642,373,850,2552
681,687,642,373,850,2552
686,687,642,373,850,2552
696,687,642,373,850,2552
697,687,642,373,850,2552
702,687,642,373,850,2552
703,687,642,373,850,2552
710,687,642,373,850,2552
716,687,642,373,850,2552
723,687,642,373,850,2552
725,687,642,373,850,2552
728,687,642,373,850,2552
729,687,642,373,850,2552
734,687,642,373,850,2552
735,687,642,373,850,2552
738,687,642,373,850,2552
739,687,642,373,850,2552
741,687,642,373,850,2552
743,687,642,373,850,2552
744,687,642,373,850,2552
759,687,642,373,850,2552
770,687,642,373,850,2552
778,687,642,373,850,2552
781,687,642,373,850,2552
792,687,642,373,850,2552
796,687,642,373,850,2552
797,687,642,373,850,2552
801,687,642,373,850,2552
805,687,642,373,850,2552
808,687,642,373,850,2552
823,687,642,373,850,2552
834,687,642,373,850,2552
836,687,642,373,850,2552
837,687,642,373,850,2552
841,687,642,373,850,2552
843,687,642,373,850,2552
844,687,642,373,850,2552
845,687,642,373,850,2552
598,687,894,95,850,2526
287,687,894,48,850,2479
123,687,894,34,850,2465
329,687,894,34,850,2465
418,687,894,34,850,2465
790,687,894,34,850,2465
799,687,894,29,850,2460
15,687,894,7,850,2438
506,687,894,7,850,2438
574,687,894,7,850,2438
39,687,894,3,850,2434
339,687,894,3,850,2434
537,687,894,3,850,2434
257,230,894,373,850,2347
71,687,642,145,850,2324
314,687,642,145,850,2324
321,687,642,145,850,2324
353,687,642,145,850,2324
454,687,642,145,850,2324
502,687,642,145,850,2324
163,687,642,95,850,2274
249,687,642,95,850,2274
518,687,642,95,850,2274
132,687,642,52,850,2231
167,687,642,52,850,2231
401,687,642,52,850,2231
458,687,642,52,850,2231
566,687,642,52,850,2231
54,687,642,48,850,2227
159,687,642,48,850,2227
317,687,642,48,850,2227
563,687,642,48,850,2227
685,687,642,34,850,2213
148,687,642,33,850,2212
265,687,642,33,850,2212
384,687,642,33,850,2212
390,687,642,33,850,2212
531,687,642,33,850,2212
632,687,642,33,850,2212
50,687,642,29,850,2208
102,687,642,29,850,2208
110,687,642,29,850,2208
164,687,642,29,850,2208
181,687,642,29,850,2208
365,687,642,29,850,2208
430,687,642,29,850,2208
451,687,642,29,850,2208
476,687,642,29,850,2208
494,687,642,29,850,2208
629,687,642,29,850,2208
673,687,642,29,850,2208
695,687,642,29,850,2208
775,687,642,29,850,2208
838,687,642,28,850,2207
114,687,642,18,850,2197
149,687,642,9,850,2188
375,687,642,8,850,2187
479,687,642,8,850,2187
761,687,642,8,850,2187
57,687,642,7,850,2186
433,687,642,7,850,2186
543,687,642,7,850,2186
477,687,642,3,850,2182
755,687,642,3,850,2182
524,687,642,2,850,2181
599,687,642,2,850,2181
613,687,642,2,850,2181
513,687,642,1,850,2180
538,687,642,1,850,2180
699,687,642,1,850,2180
3,56,894,373,850,2173
612,56,894,373,850,2173
320,37,894,373,850,2154
657,37,894,373,850,2154
17,29,894,373,850,2146
35,29,894,373,850,2146
261,29,894,373,850,2146
576,29,894,373,850,2146
780,29,894,373,850,2146
833,29,894,373,850,2146
146,11,894,373,850,2128
370,11,894,373,850,2128
45,230,894,145,850,2119
585,230,894,145,850,2119
810,230,894,145,850,2119
817,230,894,145,850,2119
122,230,894,123,850,2097
297,230,642,373,850,2095
732,230,642,373,850,2095
751,230,642,373,850,2095
831,230,642,373,850,2095
416,687,146,373,850,2056
426,687,146,373,850,2056
514,687,146,373,850,2056
1610,687,894,373,100,2054
12,230,894,34,850,2008
42,230,894,34,850,2008
597,230,894,34,850,2008
798,230,894,34,850,2008
1439,687,894,373,52,2006
11,230,894,18,850,1992
1292,687,894,373,38,1992
84,230,894,16,850,1990
150,230,894,16,850,1990
174,230,894,16,850,1990
350,230,894,16,850,1990
486,230,894,16,850,1990
637,230,894,16,850,1990
1190,687,894,373,26,1980
1193,687,894,373,26,1980
232,111,642,373,850,1976
315,111,642,373,850,1976
376,111,642,373,850,1976
529,230,894,1,850,1975
535,230,894,1,850,1975
1238,687,894,373,20,1974
1137,687,894,373,17,1971
147,79,894,145,850,1968
631,79,894,145,850,1968
795,79,894,145,850,1968
1078,687,894,373,13,1967
1086,687,894,373,13,1967
852,687,894,373,12,1966
858,687,894,373,12,1966
1043,687,894,373,10,1964
864,687,894,373,9,1963
867,687,894,373,9,1963
869,687,894,373,9,1963
881,687,894,373,9,1963
906,687,894,373,9,1963
1096,687,894,373,9,1963
924,687,894,373,3,1957
226,79,642,373,850,1944
503,79,642,373,850,1944
610,79,642,373,850,1944
835,79,642,373,850,1944
275,74,642,373,850,1939
392,74,642,373,850,1939
507,74,642,373,850,1939
49,70,894,123,850,1937
520,70,894,123,850,1937
584,70,894,123,850,1937
624,70,894,123,850,1937
6,56,642,373,850,1921
10,56,642,373,850,1921
23,56,642,373,850,1921
44,56,642,373,850,1921
47,56,642,373,850,1921
61,56,642,373,850,1921
69,56,642,373,850,1921
73,56,642,373,850,1921
77,56,642,373,850,1921
99,56,642,373,850,1921
104,56,642,373,850,1921
143,56,642,373,850,1921
154,56,642,373,850,1921
165,56,642,373,850,1921
184,56,642,373,850,1921
185,56,642,373,850,1921
194,56,642,373,850,1921
277,56,642,373,850,1921
289,56,642,373,850,1921
326,56,642,373,850,1921
336,56,642,373,850,1921
372,56,642,373,850,1921
480,56,642,373,850,1921
482,56,642,373,850,1921
485,56,642,373,850,1921
519,56,642,373,850,1921
540,56,642,373,850,1921
541,56,642,373,850,1921
551,56,642,373,850,1921
552,56,642,373,850,1921
562,56,642,373,850,1921
578,56,642,373,850,1921
605,56,642,373,850,1921
611,56,642,373,850,1921
661,56,642,373,850,1921
674,56,642,373,850,1921
680,56,642,373,850,1921
719,56,642,373,850,1921
745,56,642,373,850,1921
752,56,642,373,850,1921
757,56,642,373,850,1921
760,56,642,373,850,1921
786,56,642,373,850,1921
802,56,642,373,850,1921
818,56,642,373,850,1921
819,56,642,373,850,1921
820,56,642,373,850,1921
357,687,10,373,850,1920
1858,687,894,145,192,1918
496,39,642,373,850,1904
754,39,642,373,850,1904
13,37,642,373,850,1902
292,37,642,373,850,1902
325,37,642,373,850,1902
505,37,642,373,850,1902
95,29,642,373,850,1894
117,29,642,373,850,1894
236,29,642,373,850,1894
263,29,642,373,850,1894
284,29,642,373,850,1894
362,29,642,373,850,1894
466,29,642,373,850,1894
544,29,642,373,850,1894
549,29,642,373,850,1894
640,29,642,373,850,1894
644,29,642,373,850,1894
688,29,642,373,850,1894
758,29,642,373,850,1894
807,29,642,373,850,1894
91,111,894,16,850,1871
144,111,894,16,850,1871
152,111,894,16,850,1871
399,687,189,145,850,1871
453,111,894,16,850,1871
567,111,894,16,850,1871
604,111,894,16,850,1871
620,111,894,16,850,1871
638,111,894,16,850,1871
821,111,894,16,850,1871
826,111,894,16,850,1871
1698,687,894,95,192,1868
1721,687,894,95,192,1868
1723,687,894,95,192,1868
1756,687,894,95,192,1868
1767,687,894,95,192,1868
1788,687,894,95,192,1868
1800,687,894,95,192,1868
1808,687,894,95,192,1868
1830,687,894,95,192,1868
1837,687,894,95,192,1868
1859,687,894,95,192,1868
1879,687,894,95,192,1868
715,230,642,145,850,1867
405,111,894,3,850,1858
81,74,894,34,850,1852
5,230,642,123,850,1845
97,230,642,123,850,1845
118,230,642,123,850,1845
136,230,642,123,850,1845
252,230,642,123,850,1845
273,230,642,123,850,1845
380,230,642,123,850,1845
383,230,642,123,850,1845
435,230,642,123,850,1845
468,230,642,123,850,1845
555,230,642,123,850,1845
672,230,642,123,850,1845
693,230,642,123,850,1845
766,230,642,123,850,1845
811,230,642,123,850,1845
847,230,642,123,850,1845
106,687,146,145,850,1828
633,687,146,145,850,1828
768,687,146,145,850,1828
48,49,894,34,850,1827
650,49,894,34,850,1827
1719,687,894,52,192,1825
1828,687,894,52,192,1825
1829,687,894,52,192,1825
1865,687,894,52,192,1825
200,687,189,95,850,1821
214,687,189,95,850,1821
219,687,189,95,850,1821
368,687,189,95,850,1821
706,687,189,95,850,1821
717,687,189,95,850,1821
1722,687,894,48,192,1821
1783,687,894,48,192,1821
1802,687,894,48,192,1821
1817,687,894,48,192,1821
1836,687,894,48,192,1821
1709,687,894,33,192,1806
1731,687,894,33,192,1806
1743,687,894,33,192,1806
1774,687,894,33,192,1806
1803,687,894,33,192,1806
67,49,894,6,850,1799
455,49,894,6,850,1799
31,16,894,34,850,1794
246,16,894,34,850,1794
293,16,894,34,850,1794
324,16,894,34,850,1794
327,16,894,34,850,1794
588,16,894,34,850,1794
774,16,894,34,850,1794
504,32,894,17,850,1793
636,32,894,17,850,1793
1748,687,894,18,192,1791
283,37,894,5,850,1786
492,37,894,5,850,1786
575,37,894,5,850,1786
762,37,894,5,850,1786
1852,687,894,13,192,1786
116,40,894,1,850,1785
1570,687,642,373,81,1783
1694,687,894,10,192,1783
1779,687,894,10,192,1783
1833,687,894,10,192,1783
1816,687,894,9,192,1782
608,3,894,34,850,1781
1727,687,894,8,192,1781
1789,687,894,8,192,1781
240,687,146,95,850,1778
720,687,189,52,850,1778
794,687,189,52,850,1778
1696,687,894,5,192,1778
1716,687,894,5,192,1778
1771,687,894,5,192,1778
1810,687,894,5,192,1778
1595,687,894,95,100,1776
1599,687,894,95,100,1776
1629,687,894,95,100,1776
1635,687,894,95,100,1776
1638,687,894,95,100,1776
1652,687,894,95,100,1776
1685,687,894,95,100,1776
1737,687,894,2,192,1775
1769,687,894,2,192,1775
1790,687,894,2,192,1775
1867,687,894,2,192,1775
4,687,189,48,850,1774
33,687,189,48,850,1774
266,687,189,48,850,1774
278,687,189,48,850,1774
464,687,189,48,850,1774
824,687,189,48,850,1774
1693,687,894,1,192,1774
1707,687,894,1,192,1774
1744,687,894,1,192,1774
348,16,894,4,850,1764
1309,687,894,145,38,1764
417,12,894,2,850,1758
460,12,894,1,850,1757
1542,687,894,95,81,1757
1549,687,894,95,81,1757
1575,687,894,95,81,1757
1588,687,894,95,81,1757
726,687,189,28,850,1754
1185,687,894,145,26,1752
1494,687,642,373,49,1751
9,111,642,145,850,1748
53,111,642,145,850,1748
142,111,642,145,850,1748
158,111,642,145,850,1748
187,111,642,145,850,1748
221,111,642,145,850,1748
233,111,642,145,850,1748
276,111,642,145,850,1748
420,111,642,145,850,1748
568,111,642,145,850,1748
595,111,642,145,850,1748
606,111,642,145,850,1748
626,111,642,145,850,1748
806,111,642,145,850,1748
1171,687,894,145,22,1748
677,687,189,18,850,1744
700,687,189,18,850,1744
1145,687,894,145,17,1743
748,230,642,18,850,1740
1219,687,894,145,13,1739
1058,687,894,145,12,1738
1609,687,894,52,100,1733
1359,687,894,95,56,1732
1362,687,894,95,56,1732
1367,687,894,95,56,1732
1373,687,894,95,56,1732
1376,687,894,95,56,1732
1378,687,894,95,56,1732
1381,687,894,95,56,1732
1382,687,894,95,56,1732
1394,687,894,95,56,1732
1407,687,894,95,56,1732
237,687,146,48,850,1731
253,687,146,48,850,1731
310,687,146,48,850,1731
457,687,146,48,850,1731
546,687,146,48,850,1731
571,687,146,48,850,1731
827,687,146,48,850,1731
306,230,642,8,850,1730
421,230,642,8,850,1730
628,230,642,8,850,1730
641,230,642,8,850,1730
101,230,642,7,850,1729
251,230,642,7,850,1729
713,230,642,7,850,1729
1632,687,894,48,100,1729
1649,687,894,48,100,1729
1679,687,894,48,100,1729
1411,687,894,95,52,1728
1413,687,894,95,52,1728
1419,687,894,95,52,1728
1420,687,894,95,52,1728
1425,687,894,95,52,1728
1433,687,894,95,52,1728
1437,687,894,95,52,1728
1454,687,894,95,52,1728
1455,687,894,95,52,1728
229,687,189,1,850,1727
381,687,189,1,850,1727
309,230,642,4,850,1726
712,230,642,4,850,1726
785,230,642,4,850,1726
849,230,642,4,850,1726
66,230,642,2,850,1724
78,230,642,2,850,1724
441,230,642,2,850,1724
813,230,642,2,850,1724
687,230,642,1,850,1723
765,230,642,1,850,1723
1315,687,894,95,42,1718
1323,687,894,95,42,1718
1327,687,894,95,42,1718
1337,687,894,95,42,1718
1345,687,894,95,42,1718
701,687,146,34,850,1717
218,79,642,145,850,1716
341,79,642,145,850,1716
344,79,642,145,850,1716
373,79,642,145,850,1716
415,79,642,145,850,1716
423,79,642,145,850,1716
465,79,642,145,850,1716
547,79,642,145,850,1716
581,79,642,145,850,1716
589,79,642,145,850,1716
692,79,642,145,850,1716
829,79,642,145,850,1716
1278,687,894,95,38,1714
1289,687,894,95,38,1714
1293,687,894,95,38,1714
1515,687,894,52,81,1714
1517,687,894,52,81,1714
1538,687,894,52,81,1714
1553,687,894,52,81,1714
1556,687,894,52,81,1714
1650,687,894,33,100,1714
1661,687,894,33,100,1714
830,687,146,28,850,1711
1592,687,894,48,81,1710
1611,687,894,28,100,1709
1197,687,894,95,26,1702
1198,687,894,95,26,1702
24,62,642,145,850,1699
80,62,642,145,850,1699
125,62,642,145,850,1699
155,62,642,145,850,1699
190,62,642,145,850,1699
307,62,642,145,850,1699
312,62,642,145,850,1699
378,62,642,145,850,1699
447,62,642,145,850,1699
746,62,642,145,850,1699
832,62,642,145,850,1699
1601,687,894,18,100,1699
1636,687,894,18,100,1699
1167,687,894,95,22,1698
1169,687,894,95,22,1698
491,687,146,13,850,1696
1545,687,894,33,81,1695
1557,687,894,33,81,1695
1563,687,894,33,81,1695
1676,687,894,13,100,1694
1133,687,894,95,17,1693
1151,687,894,95,17,1693
68,687,146,8,850,1691
473,687,146,8,850,1691
1634,687,894,10,100,1691
1642,687,894,10,100,1691
1682,687,894,10,100,1691
1687,687,894,10,100,1691
1646,687,894,9,100,1690
1357,687,894,52,56,1689
1361,687,894,52,56,1689
1369,687,894,52,56,1689
1374,687,894,52,56,1689
1377,687,894,52,56,1689
1384,687,894,52,56,1689
1390,687,894,52,56,1689
1397,687,894,52,56,1689
1400,687,894,52,56,1689
1051,687,894,95,12,1688
1052,687,894,95,12,1688
128,70,642,123,850,1685
175,70,642,123,850,1685
180,70,642,123,850,1685
198,70,642,123,850,1685
205,70,642,123,850,1685
334,70,642,123,850,1685
413,70,642,123,850,1685
442,70,642,123,850,1685
461,70,642,123,850,1685
478,70,642,123,850,1685
675,70,642,123,850,1685
789,70,642,123,850,1685
1101,687,894,95,9,1685
1370,687,894,48,56,1685
1430,687,894,52,52,1685
1438,687,894,52,52,1685
1443,687,894,52,52,1685
1458,687,894,52,52,1685
1460,687,894,52,52,1685
1461,687,894,52,52,1685
1668,687,894,4,100,1685
1674,687,894,4,100,1685
1672,687,894,3,100,1684
1028,687,894,95,7,1683
915,687,894,95,6,1682
1479,687,894,52,49,1682
1498,687,894,52,49,1682
1502,687,894,52,49,1682
1506,687,894,52,49,1682
1510,687,894,52,49,1682
910,687,894,95,5,1681
912,687,894,95,5,1681
959,687,894,95,5,1681
961,687,894,95,5,1681
1011,687,894,95,5,1681
1452,687,894,48,52,1681
1005,687,894,95,3,1679
28,39,642,145,850,1676
74,39,642,145,850,1676
1334,687,894,52,42,1675
1341,687,894,52,42,1675
1573,687,894,13,81,1675
1582,687,894,13,81,1675
1587,687,894,13,81,1675
25,37,642,145,850,1674
120,37,642,145,850,1674
393,37,642,145,850,1674
618,37,642,145,850,1674
1286,687,894,52,38,1671
1339,687,894,48,42,1671
1385,687,894,33,56,1670
1534,687,894,8,81,1670
1559,687,894,8,81,1670
1280,687,894,48,38,1667
1428,687,894,33,52,1666
1459,687,894,33,52,1666
1513,687,894,3,81,1665
1514,687,894,2,81,1664
1529,687,894,2,81,1664
1551,687,894,2,81,1664
1497,687,894,33,49,1663
1523,687,894,1,81,1663
1562,687,894,1,81,1663
1568,687,894,1,81,1663
1586,687,894,1,81,1663
816,23,642,145,850,1660
1164,687,894,52,22,1655
1264,687,894,52,19,1652
1265,687,894,52,19,1652
1287,687,894,33,38,1652
1298,687,894,33,38,1652
1445,687,894,18,52,1651
1269,687,894,48,19,1648
1274,687,894,48,19,1648
1466,687,894,18,49,1648
1473,687,894,18,49,1648
1105,687,894,48,17,1646
1045,687,894,52,12,1645
1048,687,894,52,12,1645
1389,687,894,8,56,1645
1391,687,894,7,56,1644
1393,687,894,7,56,1644
1395,687,894,7,56,1644
683,230,189,373,850,1642
1081,687,894,48,13,1642
1089,687,894,48,13,1642
1331,687,894,18,42,1641
1405,687,894,4,56,1641
1450,687,894,8,52,1641
1418,687,894,7,52,1640
1426,687,894,7,52,1640
1427,687,894,7,52,1640
1034,687,894,48,10,1639
1037,687,894,48,10,1639
1098,687,894,48,9,1638
1364,687,894,1,56,1638
874,687,894,48,8,1637
879,687,894,48,8,1637
980,687,894,52,3,1636
1021,687,894,48,6,1635
1489,687,894,3,49,1633
921,687,894,48,3,1632
1106,687,894,34,17,1632
1111,687,894,34,17,1632
1132,687,894,34,17,1632
1499,687,894,2,49,1632
1470,687,894,1,49,1631
1074,687,894,33,13,1627
1047,687,894,33,12,1626
1336,687,894,3,42,1626
1038,687,894,34,10,1625
1330,687,894,2,42,1625
1344,687,894,2,42,1625
1299,687,894,5,38,1624
1279,687,894,2,38,1621
1294,687,894,2,38,1621
1301,687,894,2,38,1621
1184,687,894,13,26,1620
958,687,894,33,5,1619
964,687,894,33,5,1619
1252,687,894,18,20,1619
942,687,894,28,9,1618
989,687,894,33,3,1617
1027,687,894,28,7,1616
1700,687,642,95,192,1616
1785,687,642,95,192,1616
1805,687,642,95,192,1616
1201,687,894,3,26,1610
866,687,894,18,9,1608
94,111,642,4,850,1607
294,111,642,4,850,1607
645,111,642,4,850,1607
731,111,642,4,850,1607
1256,687,894,7,19,1607
1224,687,894,10,14,1605
787,111,642,1,850,1604
1031,687,894,18,5,1604
950,687,894,13,9,1603
1217,687,894,9,13,1603
1253,687,894,1,20,1602
21,79,642,29,850,1600
65,79,642,29,850,1600
86,79,642,29,850,1600
356,79,642,29,850,1600
361,79,642,29,850,1600
444,79,642,29,850,1600
668,79,642,29,850,1600
694,79,642,29,850,1600
737,79,642,29,850,1600
777,79,642,29,850,1600
848,79,642,29,850,1600
854,687,894,7,12,1600
859,687,894,7,12,1600
130,230,146,373,850,1599
247,230,146,373,850,1599
264,230,146,373,850,1599
335,230,146,373,850,1599
484,74,642,33,850,1599
501,74,642,33,850,1599
756,74,642,33,850,1599
968,687,894,13,5,1599
978,687,894,13,3,1597
1102,687,894,7,9,1597
1225,687,894,2,14,1597
1220,687,894,2,13,1596
1234,687,894,1,14,1596
977,687,894,9,3,1593
1035,687,894,2,10,1593
953,687,894,7,3,1591
982,687,894,2,8,1591
1017,687,894,3,6,1590
916,687,894,2,6,1589
965,687,894,3,5,1589
1012,687,894,3,5,1589
1124,687,894,1,7,1589
151,62,642,34,850,1588
617,62,642,34,850,1588
635,62,642,34,850,1588
909,687,894,1,5,1587
952,687,894,2,3,1586
999,687,894,1,4,1586
1003,687,894,1,3,1585
956,687,894,1,2,1584
1648,687,642,145,100,1574
1686,687,642,145,100,1574
1763,687,642,52,192,1573
521,79,642,1,850,1572
153,62,642,16,850,1570
338,74,642,4,850,1570
424,74,642,4,850,1570
607,74,642,4,850,1570
800,74,642,4,850,1570
349,49,642,28,850,1569
409,74,642,2,850,1568
822,74,642,2,850,1568
776,74,642,1,850,1567
779,49,642,25,850,1566
648,39,642,34,850,1565
803,39,642,34,850,1565
32,62,642,7,850,1561
698,39,642,28,850,1559
443,62,642,4,850,1558
222,62,642,2,850,1556
561,62,642,2,850,1556
840,56,642,2,850,1550
139,49,642,4,850,1545
271,49,642,1,850,1542
809,49,642,1,850,1542
814,49,642,1,850,1542
26,32,642,17,850,1541
245,32,642,17,850,1541
